month,gx,gy,day_type,hour,avg_total_users,avg_users_under_10min,avg_users_10_30min,avg_users_over_30min,sex_1,sex_2,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_other,city_keelung,city_taipei,city_newtaipei,city_taoyuan,city_hsinchu_city,city_hsinchu_county,city_miaoli,city_taichung,city_changhua,city_nantou,city_yunlin,city_chiayi_city,city_chiayi_county,city_tainan,city_kaohsiung,city_pingtung,city_yilan,city_hualien,city_taitung,city_penghu,city_kinmen,city_lienchiang
202412,7169,7148,假日,2,7.56,1.22,1.22,5.11,54.94,45.06,0,0,5.64,11.3,6.65,6.57,13.99,7.89,11.51,36.45,83.15,0.85,8.66,0,0.85,1.85,0,0,0.93,0,0,0,0,0,3.7,0,0,0,0,0,0,0
202412,7165,7152,假日,3,20.56,0.67,5.44,14.44,61.67,38.33,1.44,2.94,7.64,3.67,11.66,6.92,10.19,11.71,16.8,27.04,64.52,4.94,12.94,5.63,1.16,1.35,0,2.19,0.46,0.51,0,0,0,0.79,0,1.26,3.06,0.74,0.46,0,0,0
202412,7165,7153,假日,3,81.11,27.11,15,39,61.93,38.07,0.15,3.03,7.08,5.76,7.09,8.6,10.38,12.35,14.25,31.32,59.48,7.71,19.46,5.19,0.98,0.84,0.6,1.89,0.4,0.25,0.13,0,0.43,0.75,0.41,0,1.34,0.15,0,0,0,0
202412,7165,7154,假日,3,59.33,19.67,9.44,30.22,62.06,37.94,1.59,6.27,4.18,5.43,7.23,4.49,10.59,11.07,14.23,34.92,64.58,5.6,15.1,4.65,0.39,1.26,0.65,1.89,0,0,0.14,0.23,0.17,0.56,1.57,0.19,1.94,0.39,0.19,0.14,0,0.14
202412,7166,7150,假日,3,13.89,0.44,2.11,11.33,59.54,40.46,2.24,4.67,7.63,4.14,5.02,6.87,10.32,15.07,11.55,32.48,76.93,5.63,8.61,2.62,0,0.58,0,1.03,0,0,0,0,0,0,1.77,0,1.6,0,0,1.23,0,0
202412,7166,7151,假日,3,22.11,8.44,3.11,10.56,57.48,42.52,2.25,2.47,5.31,5.54,6.15,4.38,11.21,14.17,12.04,36.47,64.35,5.94,18.27,2.57,0,0.56,0,0,0,0.56,0.58,0,0,0.46,3.33,0,2.38,0.99,0,0,0,0
202412,7166,7152,假日,3,30.11,11.56,5.33,13.22,67.58,32.42,1.61,4.32,5.45,4.31,7.87,4.82,8.4,17.15,11.38,34.69,56.64,5.79,18.76,4.42,0.35,0,0,3.41,0,0.51,0,0,0,1.37,3.28,0,3.43,0,0.35,1.49,0,0.22
202412,7166,7153,假日,3,20.67,3.33,3.44,13.89,55.35,44.65,2.92,7.71,4.56,4.79,6.45,5.59,8.94,14.45,11.34,33.25,64.53,7.83,9.62,3.64,2.33,2.61,1.23,1.39,0,0,0.65,0,0.44,1.1,1.83,0.89,0.95,0.95,0,0,0,0
202412,7167,7149,假日,3,37,1.33,3.11,32.56,55.44,44.56,1.06,4.57,6.34,5.14,9.07,5.48,7.7,16.97,6.28,37.38,85.22,2.32,3.55,0.84,0.28,0.53,0.21,1.84,0.21,0,0,2.78,0,0.3,0.81,0,0.62,0,0.21,0.3,0,0
202412,7167,7150,假日,3,47,25.56,5.89,15.56,58.88,41.12,0.96,4.61,6.12,5.43,7.39,5.09,13.15,6.17,10.31,40.78,79.95,2.22,8.08,1.74,0.43,1.01,0.64,0.86,0,0,0.39,0,0,0.44,2.18,0,1.18,0,0,0.87,0,0
